ph,hardness,tds,chlorine,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity
5.24,133.11,1011.06,4.12,105.4,1398.34,5.97,88.65,4.97
9.07,238.86,383.49,4.84,139.42,1410.405,4.56,57.69,0.19
5.71,102.49,183.76,4.3,349.74,420.49,0.33,83.03,4.45
7.35,128.55,132.38,1.17,313.42,232.86,8.7,67.0,3.56
6.03,85.9,202.18,0.4,71.06,2188.43,8.37,87.09,0.77
8.23,1049.65,939.49,2.42,318.62,1303.73,5.95,117.58,3.01
7.57,326.95,782.67,7.79,323.26,1603.34,11.11,57.22,1.86
6.78,234.87,283.35,7.03,129.09,935.57,8.33,177.95,3.05
7.45,842.44,342.3,1.99,292.02,2593.68,9.27,79.14,1.44
6.05,256.43,651.12,3.46,368.92,1550.78,10.99,190.14,5.17
6.14,343.5,153.07,1.7,398.91,236.38,11.44,95.65,3.49
6.6,203.53,236.98,1.38,167.63,1999.12,6.98,36.53,2.28
6.26,406.08,142.31,1.08,358.72,1410.405,5.94,123.48,1.93
7.3,394.64,361.43,2.56,97.69,484.61,10.42,91.01,5.39
8.02,294.14,189.86,1.39,126.04,2762.0,11.55,37.03,2.36
6.98,136.46,161.11,4.21,378.66,1237.85,4.76,1.04,5.45
7.47,83.77,285.87,1.7,189.58,865.31,4.86,108.74,1.08
6.26,443.89,3.22,4.4,95.84,636.14,0.56,49.71,1.99
6.46,328.33,138.75,0.65,341.2,20.41,4.27,127.32,1.48
6.74,446.48,761.82,2.75,99.64,1430.9,7.32,43.31,4.62
8.21,189.79,274.48,3.67,118.05,2233.23,11.93,83.98,2.89
9.14,402.06,129.55,3.37,325.59,628.99,3.47,52.76,3.41
5.47,291.6,85.4,0.67,381.33,111.57,5.3,92.58,2.95
7.19,365.02,477.86,1.34,317.47,1534.18,4.39,60.55,3.0
7.03,91.7,685.8,4.11,644.41,756.34,6.22,13.14,5.02
7.23,440.25,659.43,0.98,691.82,2568.55,9.76,81.07,3.73
7.98,225.75,292.77,1.85,388.23,495.09,3.23,95.62,5.31
6.17,230.42,504.69,3.07,311.65,2205.65,8.5,21.91,0.94
7.31,108.35,947.96,0.69,273.36,1073.62,10.57,13.07,10.23
7.23,251.89,164.49,4.46,279.27,108.28,6.55,77.41,8.19
6.63,221.91,399.11,0.29,395.5,1743.67,11.36,88.05,1.29
7.86,401.82,73.86,3.43,239.53,554.45,7.05,87.17,0.35
8.01,380.69,273.63,3.77,53.66,2045.06,5.47,13.51,8.77
8.4,289.55,86.3,1.31,306.39,229.22,5.93,122.56,3.5
7.23,142.56,92.17,0.64,363.93,2762.4,10.79,15.86,4.76
7.51,342.54,660.66,1.66,255.69,730.09,4.86,109.59,1.46
7.93,306.24,317.34,2.56,86.96,717.72,6.49,7.76,2.18
7.29,120.41,288.04,4.15,87.15,862.86,10.17,89.31,3.62
5.6,273.84,337.45,2.25,387.87,1410.405,9.88,32.77,10.91
7.74,156.37,189.63,2.92,392.56,530.91,2.51,64.37,2.91
6.32,852.35,320.13,0.81,170.22,307.4,10.79,119.63,2.45
6.64,893.97,475.11,3.76,255.43,60.36,6.39,41.53,1.92
7.76,402.92,902.86,3.69,236.26,2552.09,4.23,126.69,1.47
5.18,60.76,153.75,1.05,188.67,1281.75,8.26,226.07,3.13
6.56,34.03,201.58,0.27,116.81,845.42,16.42,11.47,4.86
7.9,396.89,206.08,0.71,176.84,2529.4,9.74,115.24,1.8
6.94,226.07,280.09,4.3,191.1,1467.88,9.19,22.57,2.02
8.29,110.82,832.35,0.88,199.01,236.4,0.89,44.24,0.09
7.83,242.32,152.56,1.5,712.0,1410.19,10.22,4.65,4.16
6.39,255.82,249.92,1.17,333.96,1957.83,7.8,196.89,12.72
6.59,138.18,391.85,1.72,311.08,619.65,5.9,53.61,1.18
8.45,179.87,876.36,0.22,194.13,821.0,12.98,64.9,2.32
6.64,368.73,133.38,4.35,247.89,1268.42,11.55,55.63,4.71
8.11,343.94,974.29,2.45,203.85,121.58,0.9,120.38,5.43
5.71,557.72,111.06,3.41,62.62,2344.84,9.98,34.09,9.45
7.7,58.3,137.9,3.33,200.14,1382.3,0.36,100.87,7.36
7.14,3.13,469.31,0.56,237.83,1070.12,11.55,121.95,8.5
7.14,441.85,60.16,0.47,177.76,1547.06,6.77,48.6,4.41
7.56,104.32,273.42,2.69,105.43,2418.48,8.05,48.14,1.37
8.02,315.25,42.89,3.79,168.11,2140.22,11.13,13.78,4.95
8.16,762.76,602.53,2.3,241.68,1410.405,2.54,120.19,4.39
6.05,621.3,475.69,7.59,85.59,2527.59,1.03,13.98,2.92
7.23,99.41,648.25,1.99,88.94,1135.15,8.86,46.97,10.54
7.75,173.92,146.97,2.37,386.11,260.88,7.7,58.54,4.44
5.39,235.3,257.04,2.35,141.58,912.69,16.16,94.75,4.26
9.16,293.33,368.48,1.22,463.7,16400.94,1.21,198.95,3.88
6.31,332.55,286.67,1.34,67.99,951.16,4.31,85.22,2.73
6.01,252.78,492.36,3.83,223.65,612.54,4.52,12.0,4.55
7.82,57.7,10.66,0.44,569.21,1217.81,4.11,33.65,5.19
5.47,77.33,154.95,3.17,100.03,1982.37,10.69,3.27,1.5
7.43,192.84,366.56,0.63,17.76,26071.56,5.13,104.15,1.37
8.08,283.28,334.57,1.86,199.29,159.69,10.21,53.52,1.23
7.44,444.74,71.88,1.03,316.18,43.48,10.46,43.65,3.97
9.02,313.67,231.55,1.44,151.74,2245.65,5.97,74.0,4.86
6.68,188.41,271.32,3.25,345.37,661.27,8.57,117.61,3.22
7.03,609.02,273.42,1.03,24.97,2205.61,7.96,66.39,1.73
7.92,426.71,387.03,6.11,361.42,449.14,4.49,20.68,4.68
6.12,277.05,273.42,0.97,117.95,2676.36,8.93,53.39,1.59
6.03,396.81,306.4,4.19,305.28,2560.86,7.19,44.89,3.09
7.43,82.49,324.2,2.35,359.46,1935.22,7.36,81.95,4.55
7.02,254.3,275.31,1.47,316.6,2343.59,6.61,35.39,3.89
8.25,439.76,260.43,1.63,234.38,2770.09,11.43,62.24,2.73
7.02,145.72,88.15,0.99,97.3,1949.88,4.02,64.76,4.2
7.86,506.69,272.25,2.25,306.7,860.67,4.12,55.8,4.69
6.62,356.85,102.01,8.97,213.78,2657.54,7.45,192.73,2.29
8.46,235.11,477.69,0.12,368.32,941.46,11.79,119.77,4.61
5.32,212.2,680.91,1.35,520.27,1329.96,3.98,89.28,1.22
9.16,45.57,31.45,0.51,108.13,29.94,7.61,55.39,3.89
7.72,927.96,954.01,3.55,697.48,423.78,10.5,212.93,1.88
7.68,387.16,978.82,2.14,117.27,2699.46,8.7,9.97,0.65
7.82,273.97,235.11,1.7,166.67,360.14,6.47,71.74,2.7
8.14,385.59,365.55,2.58,385.33,1989.31,6.26,83.14,0.37
6.47,423.24,157.6,4.04,303.16,1170.82,10.75,13.01,4.4
6.06,87.64,110.37,0.79,327.6,461.02,0.45,28.19,2.53
8.45,305.0,208.35,3.47,180.24,2442.33,10.96,170.43,4.02
8.27,104.31,235.78,4.36,173.82,905.02,10.86,76.65,5.02
6.39,171.04,308.01,0.16,271.71,472.32,5.15,55.58,3.95
9.61,326.28,276.85,1.2,156.38,2068.71,8.95,11.64,2.33
8.09,842.1,174.4,0.42,135.48,808.82,2.87,2.85,5.23
9.47,606.34,396.94,3.03,269.99,25585.4,8.02,74.86,2.69
7.23,153.83,273.42,1.52,399.55,735.23,6.95,193.84,4.62
6.49,223.89,187.49,1.84,12.21,4615.72,7.49,83.48,0.53
7.86,1069.42,356.4,3.54,57.09,2681.7,7.31,54.26,1.18
6.88,315.53,612.8,3.15,392.95,2489.84,2.57,95.45,1.1
7.24,431.25,246.56,1.44,398.36,1538.27,8.87,88.19,1.62
6.48,327.88,33.18,0.32,11.4,665.08,9.4,31.85,2.36
7.78,163.05,176.83,3.6,74.09,30.05,7.67,84.07,0.59
6.68,296.84,206.96,3.27,340.24,723.59,4.65,229.92,3.57
8.05,180.35,546.97,4.42,290.59,2275.5,14.32,99.01,5.28
6.45,93.33,935.95,0.74,253.15,16.86,1.45,156.39,0.52
7.86,135.51,146.62,1.54,370.69,207.54,2.3,9.73,2.29
8.66,667.92,293.97,0.31,140.03,159.05,4.23,70.39,2.31
7.37,769.4,343.43,2.51,59.76,2380.4,6.57,62.5,4.73
5.91,369.44,451.93,3.3,181.03,34354.21,10.16,19.16,3.94
6.09,337.82,231.86,1.63,373.15,727.55,7.39,204.09,2.81
6.72,418.65,754.59,3.14,274.09,873.36,7.94,86.05,1.37
6.15,405.2,126.85,1.38,207.02,2026.76,11.24,26.18,4.32
6.97,78.65,1047.54,3.95,663.53,1079.14,10.11,53.78,4.02
8.51,113.35,732.36,3.75,313.14,594.01,11.38,120.72,1.44
9.2,258.41,282.7,4.42,231.37,1839.97,5.94,23.81,1.2
7.71,55.45,212.99,0.16,183.56,1276.81,4.37,59.06,0.2
7.51,543.2,361.96,3.78,377.2,2515.95,9.34,111.89,4.59
6.84,333.15,133.42,1.4,365.89,1733.69,4.76,97.58,2.98
7.15,155.66,134.79,2.45,321.78,320.18,9.94,118.48,4.28
6.88,301.61,198.74,1.0,381.61,680.76,11.31,83.37,4.38
8.33,401.19,98.25,0.84,296.65,2365.28,0.99,73.44,1.84
7.23,150.51,285.99,1.53,77.38,1881.83,8.28,125.56,5.42
7.58,48.72,695.23,2.89,279.64,788.55,1.19,79.77,1.26
6.51,92.89,252.37,2.58,268.28,129.97,3.9,40.41,2.5
6.0,200.01,355.75,1.24,209.17,1377.61,5.23,126.9,5.19
7.85,550.65,117.64,0.81,398.99,1731.97,2.88,63.71,4.59
7.48,196.83,263.85,1.6,356.98,2459.72,7.24,50.81,5.15
7.77,171.71,137.76,1.08,238.65,1107.35,8.88,128.56,1.36
8.48,293.45,636.57,2.07,179.97,1352.68,11.42,93.84,2.2
8.38,126.84,165.12,0.05,370.54,1299.68,4.75,8.66,1.58
7.02,326.65,273.42,3.68,334.55,450.94,9.99,49.59,2.83
8.05,733.96,283.35,1.67,290.75,35441.16,11.21,104.07,0.18
6.63,178.29,361.8,2.54,156.02,2381.78,3.86,124.34,1.6
7.99,232.67,347.13,1.05,247.95,328.26,9.18,40.22,2.53
7.2,354.83,371.52,3.01,61.62,1300.91,4.57,22.44,1.04
6.81,711.65,138.26,3.78,22.51,2634.45,1.59,215.66,0.73
6.32,94.76,84.57,4.01,659.91,87.28,6.63,84.91,5.34
5.7,214.48,278.83,1.93,136.32,1403.16,4.87,45.91,1.04
6.26,84.13,386.56,2.9,373.14,1982.5,5.31,50.22,3.7
7.3,727.62,308.04,0.0,192.8,668.94,5.44,94.1,3.04
8.1,383.45,64.93,1.4,101.98,2608.51,7.26,5.98,3.35
8.16,112.26,285.84,0.98,362.98,2669.58,4.38,59.06,1.7
6.04,176.52,303.48,3.21,149.47,2196.49,11.6,77.32,0.35
6.72,514.29,480.98,1.18,75.55,2647.72,5.39,31.12,2.61
6.36,125.64,928.3,3.92,60.58,2089.11,8.0,59.62,4.78
7.59,425.04,347.28,2.62,61.84,2374.81,7.68,103.34,4.17
6.98,239.34,110.68,3.38,376.91,1218.68,7.28,133.41,5.13
7.19,385.13,215.95,1.72,91.92,1139.49,5.41,59.53,5.16
8.32,414.55,1086.53,1.28,331.79,1499.8,10.55,114.22,5.25
6.67,179.73,249.7,1.16,175.45,1403.99,8.42,113.47,0.83
7.25,129.44,327.25,2.58,545.83,1716.31,4.95,48.95,0.19
8.04,299.71,175.24,2.72,200.66,2411.79,3.66,11.44,2.31
6.51,155.31,309.15,0.04,348.66,175.64,5.56,43.93,3.95
8.16,107.35,396.85,4.03,336.43,105.11,10.55,102.28,0.3
8.15,84.5,825.61,1.18,276.33,2511.5,4.82,110.75,0.79
6.97,360.2,142.56,4.13,24.39,488.93,5.56,90.4,1.48
7.23,278.56,117.22,1.69,189.1,1378.61,4.12,43.27,4.15
6.86,412.45,7.89,1.85,610.01,1179.78,10.98,190.65,1.46
7.29,208.99,1062.25,2.33,314.4,528.1,5.72,1.39,1.71
6.53,209.52,382.29,6.5,262.74,908.42,8.7,24.54,3.83
7.11,551.1,378.96,0.85,69.18,1366.59,8.73,78.64,3.93
7.19,23.94,274.0,1.33,149.36,483.24,9.4,103.68,4.66
7.06,135.1,796.09,2.06,180.82,361.39,5.24,116.51,1.82
7.23,352.6,335.49,1.73,362.7,2388.24,11.99,28.7,1.19
6.32,221.15,185.01,0.0,333.91,2453.85,10.29,69.82,0.07
6.88,1039.56,950.5,2.27,9.62,940.71,6.84,47.68,2.35
7.8,340.43,317.19,1.55,92.2,1303.62,8.74,55.35,3.94
7.44,185.09,1059.19,3.09,371.46,2714.79,11.71,163.55,2.66
7.67,171.07,270.5,3.7,234.89,493.27,11.26,32.74,13.85
8.21,152.93,200.79,1.81,15.59,203.11,8.45,118.56,1.0
5.68,430.88,345.04,0.46,40.82,1040.67,4.06,66.26,0.52
7.1,379.61,183.05,1.73,186.18,1427.79,11.3,11.76,4.76
5.15,65.98,325.08,1.16,345.43,1410.405,9.84,92.36,5.78
6.48,103.94,203.43,2.3,0.6,1415.47,7.17,24.44,2.23
5.58,445.0,147.42,2.71,102.03,2069.87,11.01,69.47,2.9
7.98,100.57,328.51,1.71,224.53,1890.82,0.3,19.15,4.82
7.89,117.84,54.45,7.05,84.34,2331.0,11.98,37.63,2.98
6.96,193.97,159.64,1.65,280.97,2111.76,7.93,6.85,5.36
7.82,430.28,871.36,2.48,73.62,2082.54,10.62,85.79,2.9
8.29,155.35,707.58,1.84,374.74,522.72,9.88,179.47,2.91
6.45,192.62,365.67,0.03,157.87,2154.54,5.75,35.71,4.96
7.23,983.62,411.79,1.63,329.26,855.87,3.19,89.82,4.83
6.82,259.82,326.69,1.08,357.27,273.54,3.19,32.32,4.31
6.44,85.09,1080.19,3.74,226.43,2477.08,9.69,87.05,3.36
5.87,368.74,172.84,1.03,322.24,727.38,8.75,100.18,5.4
7.96,255.35,383.49,1.17,346.7,1822.71,11.75,25.42,1.51
7.58,274.13,805.38,2.32,140.3,261.5,7.12,44.35,0.25
8.29,97.68,125.17,2.21,91.28,1093.03,8.75,22.19,1.21
7.76,1057.04,766.37,1.85,154.57,1403.94,4.08,67.27,2.39
6.5,351.92,101.01,2.37,347.41,421.75,5.37,39.55,5.49
7.21,435.07,354.42,0.56,95.23,1252.4,11.05,120.8,2.99
8.47,592.13,2.44,1.23,284.8,2730.05,11.75,73.87,0.43
8.08,170.54,133.89,0.55,199.82,2265.85,5.14,213.66,0.46
5.0,388.27,207.25,0.68,308.85,1872.97,1.74,109.84,1.17
7.14,109.4,384.72,2.18,239.48,1928.19,0.32,82.86,6.66
6.43,60.29,370.78,3.24,154.91,2513.47,5.12,76.35,5.19
8.21,169.51,147.69,1.89,199.28,247.51,9.55,3.64,11.08
6.51,449.03,66.02,0.34,52.02,122.99,8.92,19.9,2.54
6.91,343.86,380.98,7.49,311.75,2086.23,9.66,13.86,2.53
7.23,498.18,721.38,0.15,88.48,2461.27,4.45,67.79,2.48
7.41,677.49,351.25,1.84,115.11,2086.19,9.6,69.02,1.72
6.87,115.75,238.65,0.7,593.42,1229.64,7.95,78.12,4.19
7.06,737.26,992.68,4.48,95.14,232.05,5.62,121.26,5.11
6.95,224.91,382.35,3.84,226.13,2778.31,8.84,29.93,3.43
8.26,114.5,204.61,3.83,380.89,1251.62,10.2,79.78,2.54
6.35,1009.09,297.69,2.75,200.2,35075.64,10.49,46.47,2.14
7.81,382.37,170.18,2.58,50.23,1245.61,8.32,83.33,3.92
8.31,207.86,400.12,1.15,140.16,2653.45,10.26,122.42,1.16
6.6,45.4,273.42,3.24,395.23,517.71,7.39,59.91,3.93
8.83,324.75,380.31,3.11,189.94,2271.05,11.99,144.05,2.2
7.23,88.61,232.3,2.87,370.26,24091.46,9.21,103.34,0.71
6.47,531.37,310.57,2.76,373.6,1181.1,8.08,110.97,4.39
7.65,282.87,346.79,3.58,105.59,2094.51,7.5,207.97,0.25
7.08,308.83,251.17,2.86,264.94,265.68,5.77,46.03,1.19
5.49,46.58,88.09,3.29,177.45,1373.82,9.51,49.23,3.26
7.47,62.43,76.34,1.46,194.59,514.7,4.93,104.7,3.76
5.9,143.0,238.21,0.9,119.07,1798.83,0.35,109.51,5.02
5.02,85.76,445.2,3.09,383.08,1048.6,7.08,95.57,1.79
5.36,72.43,251.34,2.36,455.17,2679.48,9.72,150.2,4.17
9.54,442.78,273.42,1.31,174.03,336.45,0.83,9.5,2.56
7.19,137.32,839.68,2.4,320.61,2571.48,8.64,23.95,2.01
7.0,91.71,160.25,2.75,336.45,178.17,9.71,37.38,3.26
7.52,382.09,186.51,1.73,121.42,867.83,6.36,15.8,1.3
7.26,138.11,116.63,4.4,530.76,690.17,4.05,52.1,4.59
7.01,124.91,134.09,0.58,85.09,381.93,1.9,87.29,4.43
8.66,157.65,1082.45,0.27,240.96,29864.97,1.4,114.03,1.06
7.21,308.36,333.15,0.11,226.4,1330.48,11.33,121.56,3.21
7.96,1083.52,232.27,0.31,236.28,909.45,9.81,186.11,3.83
7.32,323.25,212.71,2.06,292.96,1625.03,6.12,39.26,2.32
5.67,389.64,1058.93,1.15,199.62,674.22,4.38,1.11,1.26
6.24,626.22,169.22,1.06,114.33,743.68,14.02,115.6,9.0
6.7,212.92,133.53,1.29,359.5,1426.28,0.13,58.73,0.3
5.02,341.97,210.49,4.49,293.28,1941.35,8.25,68.73,3.9
9.27,298.75,1056.92,0.32,382.4,103.89,7.25,58.38,5.06
8.25,245.75,99.3,0.64,173.49,2787.12,6.8,55.91,5.35
5.48,218.82,136.51,0.87,331.05,1224.17,2.09,131.82,5.28
6.9,404.46,273.42,0.19,82.03,1486.3,4.53,44.05,10.5
7.03,0.08,233.16,4.19,41.9,714.55,11.3,56.79,5.05
6.92,316.11,281.76,1.68,341.74,121.57,10.28,58.97,3.76
7.06,120.6,123.56,3.12,229.21,2682.11,2.35,63.96,0.64
8.32,280.13,363.68,3.95,188.4,1543.1,4.37,68.41,5.01
7.42,169.19,190.74,3.82,284.12,1573.3,7.17,22.17,4.17
7.2,360.12,339.15,1.77,391.38,1540.58,8.42,33.91,2.22
8.04,346.11,210.25,2.61,295.76,1626.45,11.57,108.21,0.1
7.13,426.78,222.29,3.2,257.42,1542.98,10.19,18.83,0.19
5.95,399.18,166.05,1.46,724.2,585.2,11.37,87.35,10.54
8.1,180.46,658.51,1.8,271.08,1365.37,5.57,123.9,9.02
7.67,79.2,749.24,0.87,27.31,2350.1,0.39,31.24,3.66
7.86,216.45,239.21,0.9,316.47,26.97,4.5,133.97,3.18
7.8,139.56,130.26,2.53,337.33,2481.02,5.76,36.17,0.75
8.5,40.71,902.03,1.61,215.55,1603.78,8.1,98.72,1.08
7.16,1024.52,120.94,3.09,733.41,1966.1,11.97,39.87,3.05
8.46,259.78,914.72,0.83,386.52,2621.77,8.76,112.65,3.94
8.41,68.1,352.98,4.12,184.74,569.47,5.33,68.38,1.66
5.33,442.57,174.53,3.15,86.96,1252.25,2.8,42.07,4.3
6.1,134.58,290.8,3.32,17.79,1371.93,4.86,66.74,1.17
7.59,55.2,533.05,1.2,147.44,2058.98,10.07,54.36,0.4
8.42,133.95,595.86,3.75,66.7,2365.37,4.0,70.81,12.96
7.23,625.14,273.42,2.46,187.06,796.42,6.93,35.14,5.43
7.23,262.79,871.31,2.32,211.12,1748.87,4.07,51.44,0.27
7.47,444.68,276.14,3.85,123.81,432.4,7.75,15.49,4.35
6.26,443.02,195.54,3.98,362.77,1528.73,11.65,42.93,2.52
8.33,869.97,816.47,2.59,305.23,713.91,2.55,51.28,0.08
8.02,47.22,280.05,1.14,237.83,1770.87,9.0,59.91,1.73
6.77,270.23,97.68,2.78,276.54,570.78,6.88,75.87,3.4
6.72,147.82,261.65,3.58,140.95,2283.41,4.05,69.76,1.95
6.27,401.47,87.2,3.7,93.18,2274.22,4.6,85.06,1.72
8.14,272.85,389.92,0.06,129.49,16845.87,10.44,113.09,1.28
6.73,50.93,483.17,3.18,324.53,2230.08,1.87,124.69,2.86
7.23,115.39,66.77,1.38,570.71,2274.86,7.9,82.83,3.44
7.17,388.22,273.42,1.14,563.55,1968.38,9.82,173.43,2.37
7.31,271.31,391.78,0.02,399.52,1566.82,7.82,10.22,3.8
7.94,89.66,132.62,2.15,504.29,2777.29,8.32,38.58,11.68
7.49,670.99,237.43,0.56,254.9,934.03,0.34,40.9,5.23
7.23,331.26,132.38,2.08,307.07,250.39,4.85,65.34,1.54
7.32,979.01,632.04,2.7,364.14,2405.19,10.7,131.15,1.55
6.55,197.16,332.15,4.24,206.12,232.25,4.2,74.28,1.64
7.21,92.16,939.27,1.05,150.89,2401.24,9.24,110.75,4.56
7.93,151.16,278.98,3.2,306.7,339.67,7.43,42.02,1.97
8.67,270.48,777.24,1.25,77.9,2131.77,0.83,100.69,1.76
7.9,88.64,235.45,8.96,281.98,1864.5,9.7,55.4,0.28
6.5,38.77,256.96,2.59,152.71,2539.74,5.86,140.19,1.59
7.23,387.83,277.59,0.83,209.37,733.19,11.6,134.99,4.22
6.57,229.94,278.14,2.04,156.11,2120.41,4.37,55.28,2.48
8.19,146.18,130.07,0.87,234.23,946.4,5.32,11.64,6.5
6.32,830.17,115.89,3.71,355.2,1945.96,5.64,191.88,4.03
7.06,6.13,94.92,0.17,706.09,1066.97,8.22,112.48,3.96
6.58,316.55,259.61,2.58,157.21,20442.37,3.17,95.97,0.79
8.33,100.99,232.09,1.2,19.55,2670.19,12.05,17.86,13.14
6.29,236.02,1002.15,1.18,176.57,216.06,9.87,114.05,4.99
6.21,101.65,271.39,1.48,359.38,1489.61,12.35,111.99,1.35
6.03,371.29,346.78,1.63,791.88,1845.61,5.92,29.91,4.29
7.95,122.53,246.85,1.62,110.34,459.38,5.23,56.7,5.21
7.59,316.32,148.0,0.04,668.71,1986.0,2.79,54.69,3.23
6.42,825.39,135.04,0.75,156.93,970.08,11.72,43.06,1.81
8.01,90.14,35.14,3.5,282.51,735.66,5.32,67.41,3.29
5.54,326.3,92.61,1.42,213.21,2104.33,7.58,51.39,0.32
7.25,173.37,700.28,1.09,393.54,242.95,6.85,198.08,1.84
